『你们中间若有缺少智慧的，应当求那厚赐与众人、也不斥责人的神，主就必赐给他』	（雅1：5）
『法利赛人站著，自言自语的祷告说：神啊，我感谢你，我不像别人勒索、不义、奸淫，也不像这个税吏』	（路18：11）
『主耶和华啊，你若究察罪孽，谁能站得住呢？』	（诗130：3）
『没有义人，连一个也没有』	（罗3：8）
『如虫的人，如蛆的世人』	（伯25：6）
『律法本是叫人知罪』	（罗3：20）
『凡有血气的，没有一个因行律法能在神面前称义』	（罗3：20）
『凡遵守全律法的，只在一条上跌倒，他就是犯了众条』	（雅2：10）
『怜恤人的人有福了！因为他们必蒙怜恤』	（太5：7）
『你不应当怜恤你的同伴，像我怜恤你吗？』	（太18：33）
『那不怜悯人的，也要受无怜悯的审判』	（雅2：13）
『我来本不是召义人，乃是召罪人』	（太9：13）
『他看见许多的人，就怜悯他们；因为他们困苦流离，如同羊没有牧人一般』	（太9：36）
『神差他的儿子降世，不是要定世人的罪，乃是要叫世人因他得救』	（约3：17）
『我来本不是要审判世界，乃是要拯救世界』	（约12：47）
『听从你们，不听从神，这在神面前合理不合理，你们自己酌量吧』	（彼前4：19）
『你们作儿女的，要在主里听从父母』	（弗6：1）
『使人和睦的人有福了！因为他们必称为神的儿子』	（太5：9）
『世人哪，耶和华已指示你何为善。他向你所要的是甚么呢？只要你行公义，好怜悯，存谦卑的心，与你的神同行』	（弥6：8）
『他的门徒雅各、约翰看见了，就说：主啊，你要我们吩咐火从天上降下来烧灭他们，像以利亚所作的吗？』	（路9：54）
『耶稣转身责备两个门徒，说：你们的心如何，你们并不知道』	（路9：55）
『不要效法这个世界，只要心意更新而变化，叫你们察验何为神的善良、纯全、可喜悦的旨意』	（罗12：2）
『既然蒙召，行事为人就当与蒙召的恩相称』	（弗4：1）
『两样的法码，为耶和华所憎恶』	（箴20：23）
『顺从神，不顺从人，是应当的』	（徒5：29）
『他们却羡慕一个更美的家乡，就是在天上的』	（来11：16）
『我们在这里本没有常存的城，乃是寻求那将来的城』	（来13：14）
『我又看见圣城新耶路撒冷由神那里从天而降』	（启21：2）
『今世之子，在世事之上，较比光明之子更加聪明』	（路16：8）
『为君王和一切在位的，也该如此，使我们可以敬虔、端正、平安无事的度日』	（提前2：2）
『那时，先知哈该和易多的孙子撒迦利亚奉以色列神的名向犹大和耶路撒冷的犹大人说劝勉的话。于是撒拉铁的儿子所罗巴伯和约萨达的儿子耶书亚都起来动手建造耶路撒冷神的殿，有神的先知在那里帮助他们』	（拉5：1-2）
『神的眼目看顾犹大的长老，以致总督等没有叫他们停工，直到这事奏告大利乌，得著他的回谕。』	（拉5：5）
『尼布甲尼撒王造了一个金像。、、、那时传令的大声呼叫说：各方、各国、各族的人哪，有令传与你们：你们一听见角、笛、琵琶、琴、瑟、笙，和各样乐器的声音，就当俯伏敬拜尼布甲尼撒王所立的金像。凡不俯伏敬拜的，必立时扔在烈火的窑中』	（但3：1-6）
『三十日内，不拘何人，若在王以外，或向神或向人求甚么，就必扔在狮子坑中。、、、于是大利乌王立这禁令，加盖玉玺』	（但6：7-9）
『但以理知道这禁令盖了玉玺，就到自己家里	（他楼上的窗户开向耶路撒冷），一日三次，双膝跪在他神面前，祷告感谢，与素常一样』	（但6：10）
『你祷告的时候，要进你的内屋，关上门，祷告你在暗中的父』	（太6：6）
『你们祷告的时候，不可像那假冒为善的人，爱站在会堂里和十字路口上祷告，故意叫人看见』	（太6：5）
『彼得和众使徒回答说：顺从神，不顺从人，是应当的』	（徒5：29）
『万有都是本于他，倚靠他，归于他。愿荣耀归给他，直到永远。阿们！』	（罗11：36）
『要爱邻舍如同自己』	（路10：27）
『在邻舍面前击掌作保乃是无知的人』	（箴17：18）
『你们便如神』	（创3：9）
『我要与至上者同等』	（赛14：14）
『自有永有』	（出3：14）
『不要在别人的罪上有分』	（提前5：22）
『爱能遮掩许多的罪』	（彼前4：8）
『当用对准公平的法码，公平的升斗。这样，在耶和华你神所赐你的地上，你的日子就可以长久』	（申25：15）
『神的名在外邦人中，因你们受了亵渎』	（罗2：24）
『你的官长居心悖逆，与盗贼作伴，各都喜爱贿赂，追求赃私。他们不为孤儿伸冤；寡妇的案件也不得呈到他们面前』	（赛1：23）
『他们吞灭人民，抢夺财宝，使这地多有寡妇』	（结22：25）
『其中的首领仿佛豺狼抓撕掠物，杀人流血，伤害人命，要得不义之财』	（结22：27）
『国内众民一味地欺压，惯行抢夺，亏负困苦穷乏的，背理欺压寄居的』	（结22：29）
『人人玷污邻舍的妻，你们还能得这地为业吗？』	（结33：26）
『耶和华与这地的居民争辩，因这地上无诚实，无良善，无人认识神。但起假誓，不践前言，杀害，偷盗，奸淫，行强暴，杀人流血，接连不断。因此，这地悲哀，其上的民、田野的兽、空中的鸟必都衰微』	（何4：1-3）
『万军之耶和华说：我必临近你们，施行审判。我必速速作见证，警戒、、、犯奸淫的、起假誓的、亏负人之工价的、欺压寡妇孤儿的、屈枉寄居的』	（玛3：5）
『祸哉！那些以房接房，以地连地，以致不留余地的，只顾自己独居境内』	（赛5：8）
『你的酒用水搀对』	（赛1：22）
『看哪，你们禁食的日子仍求利益，勒逼人为你们做苦工』	（赛58：3）
『那行不义盖房、行不公造楼、白白使用人的手工不给工价的有祸了』	（耶22：13）
『手里有诡诈的天平，爱行欺骗』	（何12：7）
『卖出用小升斗，收银用大戥子，用诡诈的天平欺哄人，好用银子买贫寒人，用一双鞋换穷乏人，将坏了的麦子卖给人』	（摩8：5-6）
『你们当在耶路撒冷的街上跑来跑去，在宽阔处寻找，看看有一人行公义求诚实没有？若有，我就赦免这城』	（耶5：1）
『在上有权柄的，人人当顺服他，因为没有权柄不是出于神的。凡掌权的都是神所命的』	（罗13：1）
『你们为主的缘故，要顺服人的一切制度，或是在上的君王』	（彼前2：13）
『彼得、约翰说：听从你们，不听从神，这在神面前合理不合理，你们自己酌量吧』	（徒4：19）
『惟愿公平如大水滚滚，使公义如江河滔滔』	（摩5：24）
『回答柔和，使怒消退；言语暴戾，触动怒气』	（箴15：1）
『耶和华的法度确定，能使愚人有智慧』	（诗19：7）
『要使人晓得智慧和训诲，分辨通达的言语』	（箴1：2）
『你们从前住的埃及地，那里人的行为，你们不可效法。我要领你们到的迦南地，那里人的行为也不可效法，也不可照他们的恶俗行』	（利18：3）
『爱你们的仇敌，为那逼迫你们的祷告』	（太5：44）
『有耳可听的，就应当听』	（太11：15）
『其实明天如何，你们还不知道。你们的生命是甚么呢？你们原来是一片云雾，出现少时就不见了。』	（雅4：14）
『人若知道行善，却不去行，这就是他的罪了』	（雅4：17）
『耶和华神用地上的尘土造人，将生气吹在他鼻孔里，他就成了有灵的活人，名叫亚当』	（创2：7）
『虽然神有灵的余力能造多人，他不是单造一人吗？为何只造一人呢？乃是他愿人得虔诚的后裔』	（玛2：15）
『起初，上帝创造天地』	（创1：1）
『人为朋友舍命，人的爱心没有比这个大的』	（约15：13）
『人子来，不是要受人的服事，乃是要服事人，并且要舍命，作多人的赎价』	（太20：28）
『神爱世人，甚至将他的独生子赐给他们，叫一切信他的，不致灭亡，反得永生』	（约3：16）
『就如神从创立世界以前，在基督里拣选了我们』	（弗1：4）
『基督在创世以前是预先被神知道的，却在这末世才为你们显现』	（彼前1：20）
『这些规条使人徒有智慧之名，用私意崇拜，自表谦卑，苦待己身，其实在克制肉体的情欲上是毫无功效』	（西2：23）
『起初，神创造天地。』	（创1：1）
『太初有道，道与神同在，道就是神。这道太初与神同在。万物是藉著他造的；凡被造的，没有一样不是藉著他造的』	（约1：1-3）
『倘若神要显明他的忿怒，彰显他的权能，就多多忍耐宽容那可怒预备遭毁灭的器皿』	（罗9：22）
『我为他们祈求，不为世人祈求，却为你所赐给我的人祈求，因他们本是你的』	（约17：9）
『这就如罪是从一人入了世界，死又是从罪来的；于是死就临到众人，因为众人都犯了罪』	（罗5：12）
『耶和华说：背道的儿女啊，回来吧！因为我作你们的丈夫』	（耶3：14）
『你们要守我的律例典章；人若遵行，就必因此活著』	（利18：5）
『将我的律例赐给他们，将我的典章指示他们；人若遵行就必因此活著』	（结20：11）
『以色列家却在旷野悖逆我，不顺从我的律例，厌弃我的典章	（人若遵行就必因此活著）』	（结20：13）
『只是他们的儿女悖逆我，不顺从我的律例，也不谨守遵行我的典章	（人若遵行就必因此活著）』	（结20：21）
『摩西写著说：人若行那出于律法的义，就必因此活著』	（罗10：5）
『律法原不本乎信，只说：行这些事的，就必因此活著』	（加3：12）
『神』。」	（约1：1）
『神的事情，人所能知道的，原显明在人心里，因为神已经给他们显明』	（罗1：19）
『然而为自己未尝不显出证据来，就如常施恩惠，从天降雨，赏赐丰年，叫你们饮食饱足，满心喜乐。』	（徒14：17）
『自从造天地以来，神的永能和神性是明明可知的，虽是眼不能见，但藉著所造之物就可以晓得，叫人无可推诿。』	（罗1：20）
